id,season_no,house,action,success,detail
62,16,Wallace,Expand,0,
63,16,Stefaniuk,Correspond,0,
64,16,Benjamin,Name heir,1,
65,16,Mercier,Cultivate influence,1,
66,16,Bouchard,Expand,1,Louis-Hébert
67,16,Hays,Correspond,0,
68,16,McLellan,Name heir,1,
69,16,Cornwall,Invest,1,
70,17,Elliott,Name heir,1,
71,17,Wallace,Expand,1,Hamilton East—Stoney Creek
72,17,Stefaniuk,Cultivate influence,1,
73,17,Benjamin,Expand,0,
74,17,Mercier,Invest,1,
75,17,Bouchard,Name heir,1,
76,17,Hays,Correspond,1,Mercier
77,17,McLellan,Cultivate influence,1,
78,17,Cornwall,Expand,0,
79,18,Elliott,Cultivate influence,1,
80,18,Wallace,Invest,1,
81,18,Stefaniuk,Invest,1,
82,18,Benjamin,Correspond,1,Elliott
83,18,Mercier,Expand,1,Pierre-Boucher—Les Patriotes—Verchères
84,18,Bouchard,Invest,1,
85,18,Hays,Expand,1,Outremont
86,18,McLellan,Consolidate (rest),1,
87,18,Cornwall,Expand,0,
88,18,Langelier,Name heir,1,
89,19,Elliott,Correspond,1,Hays
90,19,Wallace,Consolidate (rest),1,
91,19,Stefaniuk,Expand,1,Riding Mountain
92,19,Benjamin,Cultivate influence,0,
93,19,Mercier,Expand,0,
94,19,Bouchard,Expand,0,
95,19,Hays,Cultivate influence,1,
96,19,McLellan,Cultivate influence,1,
97,19,Cornwall,Cultivate influence,0,
98,19,Langelier,Correspond,1,Mercier
99,19,Meagher,Name heir,1,
100,20,Elliott,Marriage alliance,1,Benjamin
101,20,Wallace,Endow,1,
102,20,Stefaniuk,Consolidate (rest),1,
103,20,Benjamin,Consolidate (rest),1,
104,20,Mercier,Invest,1,
105,20,Bouchard,Invest,1,
106,20,Hays,Cultivate influence,0,
107,20,McLellan,Invest,1,
108,20,Cornwall,Name heir,1,
109,20,Langelier,Consolidate (rest),1,
110,20,Meagher,Cultivate influence,1,
111,21,Elliott,Correspond,1,Hays
112,21,Wallace,Expand,1,Niagara Falls—Niagara-on-the-Lake
113,21,Stefaniuk,Consolidate (rest),1,
114,21,Benjamin,Expand,0,
115,21,Mercier,Expand,0,
116,21,Bouchard,Correspond,1,McLellan
117,21,Hays,Propose compact,0,
118,21,McLellan,Invest,1,
119,21,Cornwall,Invest,1,
120,21,Langelier,Correspond,1,Mercier
121,21,Meagher,Cultivate influence,0,
122,21,Hoover,Cultivate influence,1,
123,22,Elliott,Cultivate influence,1,
124,22,Wallace,Invest,1,
125,22,Stefaniuk,Expand,0,
126,22,Benjamin,Correspond,0,
127,22,Mercier,Cultivate influence,1,
128,22,Bouchard,Expand,0,
129,22,Hays,Invest,1,
130,22,McLellan,Correspond,1,Mercier
131,22,Cornwall,Cultivate influence,1,
132,22,Langelier,Invest,1,
133,22,Meagher,Consolidate (rest),1,
134,22,Hoover,Invest,1,
135,23,Elliott,Consolidate (rest),1,
136,23,Wallace,Expand,1,Flamborough—Glanbrook—Brant North
137,23,Stefaniuk,Invest,1,
138,23,Benjamin,Expand,0,
139,23,Mercier,Correspond,0,
140,23,Bouchard,Invest,1,
141,23,Hays,Cultivate influence,1,
142,23,McLellan,Correspond,1,Mercier
143,23,Cornwall,Cultivate influence,1,
144,23,Langelier,Invest,1,
145,23,Meagher,Cultivate influence,1,
146,23,Hoover,Correspond,0,
147,24,Elliott,Consolidate (rest),1,
148,24,Wallace,Cultivate influence,0,
149,24,Stefaniuk,Consolidate (rest),1,
150,24,Benjamin,Expand,1,Saint-Maurice—Champlain
151,24,Mercier,Expand,0,
152,24,Bouchard,Correspond,0,
153,24,Hays,Consolidate (rest),1,
154,24,McLellan,Correspond,1,Mercier
155,24,Cornwall,Invest,1,
156,24,Langelier,Expand,0,
157,24,Meagher,Correspond,0,
158,24,Hoover,Endow,1,
159,25,Elliott,Consolidate (rest),1,
160,25,Wallace,Invest,1,
161,25,Stefaniuk,Cultivate influence,1,
162,25,Benjamin,Invest,1,
163,25,Mercier,Cultivate influence,1,
164,25,Bouchard,Expand,1,Québec Centre
165,25,Hays,Cultivate influence,1,
166,25,McLellan,Correspond,1,Benjamin
167,25,Cornwall,Invest,1,
168,25,Langelier,Correspond,0,
169,25,Meagher,Correspond,1,Langelier
170,25,Hoover,Invest,1,
171,26,Elliott,Invest,1,
172,26,Wallace,Correspond,1,Benjamin
173,26,Stefaniuk,Expand,1,Yorkton—Melville
174,26,Benjamin,Cultivate influence,1,
175,26,Mercier,Expand,1,Montcalm
176,26,Bouchard,Invest,1,
177,26,Hays,Expand,1,Laurier—Sainte-Marie
178,26,McLellan,Invest,1,
179,26,Cornwall,Cultivate influence,0,
180,26,Langelier,Cultivate influence,0,
181,26,Meagher,Invest,1,
182,26,Hoover,Expand,0,
183,27,Elliott,Cultivate influence,1,
184,27,Wallace,Consolidate (rest),1,
185,27,Stefaniuk,Invest,1,
186,27,Benjamin,Consolidate (rest),1,
187,27,Mercier,Correspond,1,Hays
188,27,Bouchard,Expand,0,
189,27,Hays,Cultivate influence,0,
190,27,McLellan,Expand,0,
191,27,Cornwall,Invest,1,
192,27,Langelier,Endow,1,
193,27,Meagher,Invest,1,
194,27,Hoover,Name heir,1,
195,28,Elliott,Consolidate (rest),1,
196,28,Wallace,Cultivate influence,1,
197,28,Stefaniuk,Consolidate (rest),1,
198,28,Benjamin,Correspond,1,Wallace
199,28,Mercier,Invest,1,
200,28,Bouchard,Consolidate (rest),1,
201,28,Hays,Correspond,1,Meagher
202,28,McLellan,Invest,1,
203,28,Cornwall,Invest,1,
204,28,Langelier,Consolidate (rest),1,
205,28,Meagher,Cultivate influence,1,
206,28,Hoover,Cultivate influence,1,
207,29,Elliott,Cultivate influence,0,
208,29,Wallace,Cultivate influence,1,
209,29,Stefaniuk,Correspond,1,Hoover
210,29,Benjamin,Cultivate influence,1,
211,29,Mercier,Cultivate influence,0,
212,29,Bouchard,Correspond,1,Wallace
213,29,Hays,Correspond,0,
214,29,McLellan,Expand,1,Malpeque
215,29,Cornwall,Expand,1,Esquimalt—Saanich—Sooke
216,29,Langelier,Invest,1,
217,29,Meagher,Correspond,1,Hays
218,29,Hoover,Consolidate (rest),1,
219,30,Elliott,Invest,1,
220,30,Wallace,Cultivate influence,0,
221,30,Stefaniuk,Consolidate (rest),1,
222,30,Benjamin,Correspond,0,McLellan
223,30,Mercier,Expand,1,Longueuil—Saint-Hubert
224,30,Bouchard,Correspond,1,Wallace
225,30,Hays,Correspond,1,Elliott
226,30,McLellan,Invest,1,
227,30,Cornwall,Expand,1,Saanich—Gulf Islands
228,30,Langelier,Invest,1,
229,30,Meagher,Propose compact,0,
230,30,Hoover,Consolidate (rest),1,
231,31,Elliott,Propose compact,1,Hays
232,31,Wallace,Invest,1,
233,31,Stefaniuk,Correspond,1,Hoover
234,31,Benjamin,Invest,1,
235,31,Mercier,Cultivate influence,1,
236,31,Bouchard,Invest,1,
237,31,Hays,Propose compact,0,
238,31,McLellan,Expand,1,Central Nova
239,31,Cornwall,Expand,1,West Vancouver—Sunshine Coast—Sea to Sky Country
240,31,Langelier,Cultivate influence,1,
241,31,Meagher,Cultivate influence,1,
242,31,Hoover,Correspond,1,Hays
243,32,Elliott,Cultivate influence,1,
244,32,Wallace,Consolidate (rest),1,
245,32,Stefaniuk,Correspond,1,Elliott
246,32,Benjamin,Invest,1,
247,32,Mercier,Consolidate (rest),1,
248,32,Bouchard,Expand,1,Beauport—Limoilou
249,32,Hays,Correspond,1,Hoover
250,32,McLellan,Cultivate influence,1,
251,32,Cornwall,Invest,1,
252,32,Langelier,Expand,1,Jonquière
253,32,Meagher,Consolidate (rest),1,
254,32,Hoover,Consolidate (rest),1,
255,33,Elliott,Invest,1,
256,33,Wallace,Cultivate influence,1,
257,33,Stefaniuk,Name heir,1,
258,33,Benjamin,Reconcile,1,McLellan
259,33,Mercier,Correspond,1,McLellan
260,33,Bouchard,Propose compact,1,McLellan
261,33,Hays,Correspond,1,Elliott
262,33,McLellan,Invest,1,
263,33,Cornwall,Invest,1,
264,33,Langelier,Cultivate influence,1,
265,33,Meagher,Propose compact,1,Hays
266,33,Hoover,Cultivate influence,1,
267,34,Elliott,Consolidate (rest),1,
268,34,Wallace,Correspond,1,Bouchard
269,34,Stefaniuk,Invest,1,
270,34,Benjamin,Expand,1,Montmorency—Charlevoix
271,34,Mercier,Invest,1,
272,34,Bouchard,Cultivate influence,1,
273,34,Hays,Consolidate (rest),1,
274,34,McLellan,Correspond,1,Hays
275,34,Cornwall,Endow,1,
276,34,Langelier,Invest,1,
277,34,Meagher,Correspond,1,Langelier
278,34,Hoover,Correspond,1,Langelier
279,35,Elliott,Invest,1,
280,35,Wallace,Correspond,1,Elliott
281,35,Stefaniuk,Expand,0,
282,35,Benjamin,Expand,1,Bécancour—Nicolet—Saurel—Alnôbak
283,35,Mercier,Propose compact,1,McLellan
284,35,Bouchard,Propose compact,0,
285,35,Hays,Consolidate (rest),1,
286,35,McLellan,Correspond,1,Hays
287,35,Cornwall,Invest,1,
288,35,Langelier,Expand,0,
289,35,Meagher,Cultivate influence,0,
290,35,Hoover,Cultivate influence,0,
291,35,Forbes,Correspond,1,Langelier
292,36,Elliott,Expand,1,Kanata
293,36,Wallace,Invest,1,
294,36,Stefaniuk,Invest,1,
295,36,Benjamin,Invest,1,
296,36,Mercier,Name heir,1,
297,36,Bouchard,Name heir,1,
298,36,Hays,Expand,0,
299,36,McLellan,Invest,1,
300,36,Cornwall,Invest,1,
301,36,Langelier,Propose compact,0,
302,36,Meagher,Invest,1,
303,36,Hoover,Consolidate (rest),1,
304,36,Forbes,Correspond,1,Langelier
305,37,Elliott,Cultivate influence,0,
306,37,Wallace,Invest,1,
307,37,Stefaniuk,Correspond,1,Elliott
308,37,Benjamin,Consolidate (rest),1,
309,37,Mercier,Cultivate influence,1,
310,37,Bouchard,Invest,1,
311,37,Hays,Cultivate influence,0,
312,37,McLellan,Expand,1,Cape Breton—Canso—Antigonish
313,37,Cornwall,Invest,1,
314,37,Langelier,Propose compact,0,
315,37,Meagher,Correspond,1,Hays
316,37,Hoover,Invest,1,
317,37,Forbes,Correspond,1,Langelier
318,37,Rochon,Name heir,1,
319,38,Elliott,Correspond,1,Wallace
320,38,Wallace,Expand,1,Oxford
321,38,Stefaniuk,Invest,1,
322,38,Benjamin,Correspond,1,McLellan
323,38,Mercier,Correspond,1,Elliott
324,38,Bouchard,Correspond,1,Hays
325,38,Hays,Invest,1,
326,38,McLellan,Invest,1,
327,38,Cornwall,Expand,1,Kamloops—Thompson—Nicola
328,38,Langelier,Expand,0,
329,38,Meagher,Cultivate influence,0,
330,38,Hoover,Consolidate (rest),1,
331,38,Forbes,Expand,0,
332,38,Rochon,Expand,1,Beaches—East York
333,39,Elliott,Cultivate influence,0,
334,39,Wallace,Cultivate influence,1,
335,39,Stefaniuk,Expand,1,Souris—Moose Mountain
336,39,Benjamin,Cultivate influence,1,
337,39,Mercier,Invest,1,
338,39,Bouchard,Expand,0,
339,39,Hays,Correspond,1,Bouchard
340,39,McLellan,Expand,0,
341,39,Cornwall,Invest,1,
342,39,Langelier,Invest,1,
343,39,Meagher,Name heir,1,
344,39,Hoover,Cultivate influence,0,
345,39,Forbes,Consolidate (rest),1,
346,39,Rochon,Cultivate influence,1,
347,40,Elliott,Propose compact,0,
348,40,Wallace,Expand,1,Perth—Wellington
349,40,Stefaniuk,Propose compact,0,
350,40,Benjamin,Petition elevation,0,
351,40,Mercier,Cede / swap,1,Benjamin
352,40,Bouchard,Marriage alliance,1,McLellan
353,40,Hays,Name heir,1,
354,40,McLellan,Expand,1,Cumberland—Colchester
355,40,Cornwall,Expand,0,
356,40,Langelier,Consolidate (rest),1,
357,40,Meagher,Correspond,1,Wallace
358,40,Hoover,Correspond,0,
359,40,Forbes,Name heir,1,
360,40,Rochon,Cultivate influence,1,
361,41,Elliott,Consolidate (rest),1,
362,41,Wallace,Cultivate influence,1,
363,41,Stefaniuk,Invest,1,
364,41,Benjamin,Cultivate influence,1,
365,41,Mercier,Cultivate influence,1,
366,41,Bouchard,Expand,0,
367,41,Hays,Correspond,0,
368,41,McLellan,Correspond,1,Bouchard
369,41,Cornwall,Consolidate (rest),1,
370,41,Langelier,Expand,0,
371,41,Meagher,Consolidate (rest),1,
372,41,Hoover,Invest,1,
373,41,Forbes,Marriage alliance,1,Langelier
374,41,Rochon,Invest,1,
375,41,Patterson,Name heir,1,
376,42,Elliott,Invest,1,
377,42,Wallace,Cultivate influence,1,
378,42,Stefaniuk,Correspond,1,Elliott
379,42,Benjamin,Invest,1,
380,42,Mercier,Invest,1,
381,42,Bouchard,Invest,1,
382,42,Hays,Invest,1,
383,42,McLellan,Cultivate influence,1,
384,42,Cornwall,Invest,1,
385,42,Langelier,Expand,1,Côte-Nord—Kawawachikamach—Nitassinan
386,42,Meagher,Cultivate influence,1,
387,42,Hoover,Name heir,1,
388,42,Forbes,Invest,1,
389,42,Rochon,Consolidate (rest),1,
390,42,Patterson,Expand,1,Gaspésie—Les Îles-de-la-Madeleine—Listuguj
391,42,Cameron,Expand,0,
392,43,Elliott,Invest,1,
393,43,Wallace,Correspond,0,
394,43,Stefaniuk,Expand,1,Moose Jaw—Lake Centre—Lanigan
395,43,Benjamin,Consolidate (rest),1,
396,43,Mercier,Propose compact,1,Langelier
397,43,Bouchard,Invest,1,
398,43,Hays,Propose compact,0,
399,43,McLellan,Cultivate influence,1,
400,43,Cornwall,Expand,1,North Vancouver—Capilano
401,43,Langelier,Correspond,1,Hoover
402,43,Meagher,Marriage alliance,1,Hays
403,43,Hoover,Expand,0,
404,43,Forbes,Cultivate influence,1,
405,43,Rochon,Correspond,1,Patterson
406,43,Patterson,Invest,1,
407,43,Cameron,Correspond,1,Hoover
408,44,Elliott,Correspond,1,Mercier
409,44,Wallace,Correspond,1,Meagher
410,44,Stefaniuk,Correspond,1,Langelier
411,44,Benjamin,Name heir,1,
412,44,Mercier,Invest,1,
413,44,Bouchard,Expand,1,Portneuf—Jacques-Cartier
414,44,Hays,Correspond,1,Meagher
415,44,McLellan,Consolidate (rest),1,
416,44,Cornwall,Cultivate influence,0,
417,44,Langelier,Correspond,1,Stefaniuk
418,44,Meagher,Correspond,1,Cameron
419,44,Hoover,Marriage alliance,1,Stefaniuk
420,44,Forbes,Correspond,0,
421,44,Rochon,Invest,1,
422,44,Patterson,Cultivate influence,1,
423,44,Cameron,Name heir,1,
424,45,Elliott,Propose compact,1,Wallace
425,45,Wallace,Cultivate influence,1,
426,45,Stefaniuk,Invest,1,
427,45,Benjamin,Invest,1,
428,45,Mercier,Cultivate influence,0,
429,45,Bouchard,Expand,1,Charlesbourg—Haute-Saint-Charles
430,45,Hays,Invest,1,
431,45,McLellan,Consolidate (rest),1,
432,45,Cornwall,Name heir,1,
433,45,Langelier,Invest,1,
434,45,Meagher,Invest,1,
435,45,Hoover,Expand,0,
436,45,Forbes,Invest,1,
437,45,Rochon,Cultivate influence,1,
438,45,Patterson,Cultivate influence,1,
439,45,Cameron,Invest,1,
440,45,Bird,Name heir,1,
441,46,Elliott,Cultivate influence,0,
442,46,Wallace,Consolidate (rest),1,
443,46,Stefaniuk,Correspond,1,Hoover
444,46,Benjamin,Expand,1,Côte-du-Sud—Rivière-du-Loup—Kataskomiq—Témiscouata
445,46,Mercier,Correspond,1,Bird
446,46,Bouchard,Correspond,1,McLellan
447,46,Hays,Correspond,0,
448,46,McLellan,Correspond,0,
449,46,Cornwall,Invest,1,
450,46,Langelier,Invest,1,
451,46,Meagher,Correspond,0,
452,46,Hoover,Correspond,0,
453,46,Forbes,Expand,1,Kings—Hants
454,46,Rochon,Invest,1,
455,46,Patterson,Consolidate (rest),1,
456,46,Cameron,Expand,0,
457,46,Bird,Invest,1,
458,47,Elliott,Invest,1,
459,47,Wallace,Consolidate (rest),1,
460,47,Stefaniuk,Cultivate influence,1,
461,47,Benjamin,Invest,1,
462,47,Mercier,Consolidate (rest),1,
463,47,Bouchard,Expand,0,
464,47,Hays,Consolidate (rest),1,
465,47,McLellan,Invest,1,
466,47,Cornwall,Expand,0,
467,47,Langelier,Invest,1,
468,47,Meagher,Propose compact,0,
469,47,Hoover,Expand,1,Ottawa—Vanier—Gloucester
470,47,Forbes,Consolidate (rest),1,
471,47,Rochon,Correspond,0,Patterson
472,47,Patterson,Invest,1,
473,47,Cameron,Expand,1,Markham—Unionville
474,47,Bird,Expand,0,
475,47,Cardinal,Correspond,0,
476,48,Elliott,Cultivate influence,0,
477,48,Wallace,Invest,1,
478,48,Stefaniuk,Cultivate influence,1,
479,48,Benjamin,Consolidate (rest),1,
480,48,Mercier,Invest,1,
481,48,Bouchard,Correspond,0,
482,48,Hays,Expand,1,Hochelaga—Rosemont-Est
483,48,McLellan,Invest,1,
484,48,Cornwall,Invest,1,
485,48,Langelier,Cultivate influence,1,
486,48,Meagher,Correspond,1,Cameron
487,48,Hoover,Correspond,1,Cameron
488,48,Forbes,Expand,0,
489,48,Rochon,Invest,1,
490,48,Patterson,Cultivate influence,1,
491,48,Cameron,Invest,1,
492,48,Bird,Correspond,0,
493,48,Cardinal,Cultivate influence,0,
494,48,Rouleau,Name heir,1,
495,49,Elliott,Consolidate (rest),1,
496,49,Wallace,Expand,1,Hamilton Centre
497,49,Stefaniuk,Invest,1,
498,49,Benjamin,Cultivate influence,1,
499,49,Mercier,Cultivate influence,1,
500,49,Bouchard,Expand,1,Lévis—Lotbinière
501,49,Hays,Correspond,1,Bird
502,49,McLellan,Cultivate influence,0,
503,49,Cornwall,Expand,0,
504,49,Langelier,Reconcile,0,
505,49,Meagher,Invest,1,
506,49,Hoover,Correspond,1,Langelier
507,49,Forbes,Expand,0,
508,49,Rochon,Consolidate (rest),1,
509,49,Patterson,Expand,0,
510,49,Cameron,Invest,1,
511,49,Bird,Expand,1,Winnipeg West
512,49,Cardinal,Expand,1,Winnipeg South Centre
513,49,Rouleau,Correspond,0,
514,50,Elliott,Correspond,1,Hoover
515,50,Wallace,Invest,1,
516,50,Stefaniuk,Petition elevation,0,
517,50,Benjamin,Cultivate influence,1,
518,50,Mercier,Correspond,1,Bird
519,50,Bouchard,Correspond,0,
520,50,Hays,Cultivate influence,1,
521,50,McLellan,Consolidate (rest),1,
522,50,Cornwall,Invest,1,
523,50,Langelier,Correspond,1,Elliott
524,50,Meagher,Invest,1,
525,50,Hoover,Consolidate (rest),1,
526,50,Forbes,Consolidate (rest),1,
527,50,Rochon,Consolidate (rest),1,
528,50,Patterson,Invest,1,
529,50,Cameron,Invest,1,
530,50,Bird,Marriage alliance,1,Mercier
531,50,Cardinal,Invest,1,
532,50,Rouleau,Expand,1,La Prairie—Atateken
533,50,Hendrie,Correspond,0,
534,51,Elliott,Invest,1,
535,51,Wallace,Consolidate (rest),1,
536,51,Stefaniuk,Cultivate influence,1,
537,51,Benjamin,Reconcile,0,
538,51,Mercier,Invest,1,
539,51,Bouchard,Consolidate (rest),1,
540,51,Hays,Correspond,0,
541,51,McLellan,Invest,1,
542,51,Cornwall,Invest,1,
543,51,Langelier,Correspond,1,Elliott
544,51,Meagher,Correspond,1,Cameron
545,51,Hoover,Cultivate influence,0,
546,51,Forbes,Invest,1,
547,51,Rochon,Invest,1,
548,51,Patterson,Expand,0,
549,51,Cameron,Correspond,1,Rochon
550,51,Bird,Invest,1,
551,51,Cardinal,Correspond,0,
552,51,Rouleau,Consolidate (rest),1,
553,51,Hendrie,Consolidate (rest),1,
554,52,Elliott,Consolidate (rest),1,
555,52,Wallace,Expand,0,
556,52,Stefaniuk,Propose compact,1,Elliott
557,52,Benjamin,Dispute,1,Langelier
558,52,Mercier,Expand,1,Rivière-du-Nord
559,52,Bouchard,Invest,1,
560,52,Hays,Cultivate influence,1,
561,52,McLellan,Invest,1,
562,52,Cornwall,Cultivate influence,1,
563,52,Langelier,Propose compact,1,Meagher
564,52,Meagher,Correspond,1,Hays
565,52,Hoover,Invest,1,
566,52,Forbes,Expand,1,South Shore—St. Margarets
567,52,Rochon,Expand,0,
568,52,Patterson,Expand,1,Madawaska—Restigouche
569,52,Cameron,Expand,1,King—Vaughan
570,52,Bird,Expand,1,Elmwood—Transcona
571,52,Cardinal,Invest,1,
572,52,Rouleau,Invest,1,
573,52,Hendrie,Cultivate influence,1,
574,53,Elliott,Cultivate influence,0,
575,53,Wallace,Invest,1,
576,53,Stefaniuk,Propose compact,0,
577,53,Benjamin,Cultivate influence,1,
578,53,Mercier,Correspond,1,Bouchard
579,53,Bouchard,Cultivate influence,0,
580,53,Hays,Cultivate influence,1,
581,53,McLellan,Expand,1,Charlottetown
582,53,Cornwall,Correspond,1,Bhullar
583,53,Langelier,Endow,1,
584,53,Meagher,Invest,1,
585,53,Hoover,Consolidate (rest),1,
586,53,Forbes,Expand,1,Sackville—Bedford—Preston
587,53,Rochon,Cultivate influence,1,
588,53,Patterson,Cultivate influence,1,
589,53,Cameron,Correspond,0,
590,53,Bird,Consolidate (rest),1,
591,53,Cardinal,Correspond,0,
592,53,Rouleau,Expand,1,Châteauguay—Les Jardins-de-Napierville
593,53,Hendrie,Cultivate influence,1,
594,53,Bhullar,Consolidate (rest),1,
595,54,Elliott,Cultivate influence,0,
596,54,Wallace,Expand,0,
597,54,Stefaniuk,Invest,1,
598,54,Benjamin,Correspond,1,McLellan
599,54,Mercier,Propose compact,1,Hays
600,54,Bouchard,Invest,1,
601,54,Hays,Consolidate (rest),1,
602,54,McLellan,Correspond,0,
603,54,Cornwall,Consolidate (rest),1,
604,54,Langelier,Invest,1,
605,54,Meagher,Correspond,0,
606,54,Hoover,Correspond,1,Elliott
607,54,Forbes,Cultivate influence,1,
608,54,Rochon,Expand,1,Toronto—Danforth
609,54,Patterson,Reconcile,1,Rochon
610,54,Cameron,Cultivate influence,0,
611,54,Bird,Consolidate (rest),1,
612,54,Cardinal,Correspond,1,Hays
613,54,Rouleau,Correspond,1,Patterson
614,54,Hendrie,Name heir,1,
615,54,Bhullar,Name heir,1,
616,54,Cousineau,Expand,1,Parry Sound—Muskoka
617,55,Elliott,Invest,1,
618,55,Wallace,Expand,0,
619,55,Stefaniuk,Invest,1,
620,55,Benjamin,Petition elevation,0,
621,55,Mercier,Consolidate (rest),1,
622,55,Bouchard,Expand,0,
623,55,Hays,Invest,1,
624,55,McLellan,Cultivate influence,1,
625,55,Cornwall,Expand,0,
626,55,Langelier,Invest,1,
627,55,Meagher,Cultivate influence,0,
628,55,Hoover,Correspond,0,
629,55,Forbes,Invest,1,
630,55,Rochon,Correspond,1,Cameron
631,55,Patterson,Cultivate influence,1,
632,55,Cameron,Correspond,0,
633,55,Bird,Invest,1,
634,55,Cardinal,Consolidate (rest),1,
635,55,Rouleau,Expand,1,Saint-Jean
636,55,Hendrie,Correspond,0,
637,55,Bhullar,Invest,1,
638,55,Cousineau,Consolidate (rest),1,
639,55,Pegahmagabow,Name heir,1,
640,56,Elliott,Consolidate (rest),1,
641,56,Wallace,Name heir,1,
642,56,Stefaniuk,Invest,1,
643,56,Benjamin,Correspond,1,Stefaniuk
644,56,Mercier,Consolidate (rest),1,
645,56,Bouchard,Cultivate influence,1,
646,56,Hays,Name heir,1,
647,56,McLellan,Consolidate (rest),1,
648,56,Cornwall,Invest,1,
649,56,Langelier,Cultivate influence,1,
650,56,Meagher,Expand,1,Nipissing—Timiskaming
651,56,Hoover,Expand,1,Nepean
652,56,Forbes,Cultivate influence,1,
653,56,Rochon,Expand,0,
654,56,Patterson,Invest,1,
655,56,Cameron,Invest,1,
656,56,Bird,Expand,1,Winnipeg North
657,56,Cardinal,Name heir,1,
658,56,Rouleau,Consolidate (rest),1,
659,56,Hendrie,Expand,1,Brampton South
660,56,Bhullar,Expand,1,Cowichan—Malahat—Langford
661,56,Cousineau,Correspond,1,Cardinal
662,56,Pegahmagabow,Correspond,1,Rouleau
663,57,Elliott,Expand,0,
664,57,Wallace,Invest,1,
665,57,Stefaniuk,Cultivate influence,1,
666,57,Benjamin,Invest,1,
667,57,Mercier,Consolidate (rest),1,
668,57,Bouchard,Cultivate influence,1,
669,57,Hays,Propose compact,0,
670,57,McLellan,Invest,1,
671,57,Cornwall,Consolidate (rest),1,
672,57,Langelier,Correspond,1,Patterson
673,57,Meagher,Cultivate influence,1,
674,57,Hoover,Correspond,1,Rochon
675,57,Forbes,Correspond,0,
676,57,Rochon,Correspond,1,Hoover
677,57,Patterson,Consolidate (rest),1,
678,57,Cameron,Marriage alliance,1,Rochon
679,57,Bird,Invest,1,
680,57,Cardinal,Correspond,0,
681,57,Rouleau,Invest,1,
682,57,Hendrie,Invest,1,
683,57,Bhullar,Invest,1,
684,57,Cousineau,Consolidate (rest),1,
685,57,Pegahmagabow,Correspond,1,Rouleau
686,57,Byrne,Name heir,1,
687,58,Elliott,Correspond,1,Hays
688,58,Wallace,Cultivate influence,1,
689,58,Stefaniuk,Petition elevation,0,
690,58,Benjamin,Correspond,1,Stefaniuk
691,58,Mercier,Correspond,1,Bouchard
692,58,Bouchard,Cultivate influence,1,
693,58,Hays,Correspond,1,Bird
694,58,McLellan,Name heir,1,
695,58,Cornwall,Consolidate (rest),1,
696,58,Langelier,Expand,1,Long Range Mountains
697,58,Meagher,Cultivate influence,1,
698,58,Hoover,Correspond,0,
699,58,Forbes,Invest,1,
700,58,Rochon,Cultivate influence,0,
701,58,Patterson,Correspond,1,Rouleau
702,58,Cameron,Consolidate (rest),1,
703,58,Bird,Invest,1,
